code,system
U2Ay.,readv2
U261.,readv2
U2032,readv2
U22z.,readv2
U20y2,readv2
U2zy.,readv2
U251.,readv2
U201z,readv2
U2083,readv2
U2004,readv2
U2A3.,readv2
U203y,readv2
U2025,readv2
U20Cz,readv2
U2073,readv2
U256.,readv2
U2A4.,readv2
U233.,readv2
U20A3,readv2
U206.,readv2
U2y4.,readv2
U2055,readv2
U20C4,readv2
U2085,readv2
U20B4,readv2
U29..,readv2
U20A1,readv2
U2z3.,readv2
U2046,readv2
U2023,readv2
U286.,readv2
U2yy.,readv2
U25..,readv2
U2041,readv2
U2014,readv2
U20C.,readv2
U20C1,readv2
U2066,readv2
U292.,readv2
U28..,readv2
U234.,readv2
U2011,readv2
U281.,readv2
U20..,readv2
U254.,readv2
U20C6,readv2
U2A2.,readv2
U2zz.,readv2
U2024,readv2
U221.,readv2
U2031,readv2
U296.,readv2
U2006,readv2
U2042,readv2
U2C..,readv2
U2D6.,readv2
U291.,readv2
U21..,readv2
U2D2.,readv2
U720.,readv2
U20Bz,readv2
U20B.,readv2
U226.,readv2
U20A.,readv2
U206z,readv2
U293.,readv2
U2D5.,readv2
U2z4.,readv2
U2A1.,readv2
U2082,readv2
U2D..,readv2
U2z6.,readv2
U253.,readv2
U20B6,readv2
U2071,readv2
U2yz.,readv2
U235.,readv2
U206y,readv2
U20C2,readv2
U25y.,readv2
U2D3.,readv2
U202y,readv2
U264.,readv2
U2053,readv2
U294.,readv2
U25z.,readv2
U2y..,readv2
U20y6,readv2
U204.,readv2
U2036,readv2
U20A4,readv2
U202z,readv2
U20Az,readv2
U20y.,readv2
U2062,readv2
U2D1.,readv2
U2z5.,readv2
U20B2,readv2
U23y.,readv2
U2054,readv2
U2y6.,readv2
U20Ay,readv2
U252.,readv2
U202.,readv2
U2056,readv2
U20C3,readv2
U20yz,readv2
U262.,readv2
U2y1.,readv2
U28z.,readv2
U263.,readv2
U2z1.,readv2
U2z..,readv2
U207y,readv2
U2064,readv2
U2012,readv2
U203.,readv2
U20Cy,readv2
U21y.,readv2
U284.,readv2
U22..,readv2
U23..,readv2
U208y,readv2
U200y,readv2
U214.,readv2
U2003,readv2
U200.,readv2
U205.,readv2
U2065,readv2
U20A5,readv2
U2084,readv2
U20yy,readv2
U22y.,readv2
U212.,readv2
U2016,readv2
U215.,readv2
U28y.,readv2
U23z.,readv2
U2z2.,readv2
U2081,readv2
U225.,readv2
U203z,readv2
U2033,readv2
U2005,readv2
U255.,readv2
U213.,readv2
14K1.,readv2
U2044,readv2
U26z.,readv2
U20A2,readv2
U29z.,readv2
U20B5,readv2
U2075,readv2
U265.,readv2
U2061,readv2
U282.,readv2
U2035,readv2
U2Az.,readv2
U21z.,readv2
U208.,readv2
U2026,readv2
U2001,readv2
U2052,readv2
U222.,readv2
U2...,readv2
U236.,readv2
U2D4.,readv2
U283.,readv2
U20By,readv2
U224.,readv2
U20y1,readv2
U2Dz.,readv2
U26..,readv2
U20B3,readv2
U2Dy.,readv2
U2A..,readv2
U2072,readv2
U2045,readv2
U2015,readv2
U2021,readv2
U211.,readv2
U295.,readv2
U2076,readv2
U204y,readv2
U2063,readv2
U2y2.,readv2
U266.,readv2
U2A6.,readv2
U2A5.,readv2
U232.,readv2
U2022,readv2
U2y5.,readv2
U2086,readv2
U20y3,readv2
U20B1,readv2
U2y3.,readv2
U2074,readv2
U231.,readv2
U207z,readv2
U205z,readv2
U20C5,readv2
U201y,readv2
U216.,readv2
U20y5,readv2
U2002,readv2
U20A6,readv2
U285.,readv2
U26y.,readv2
U2013,readv2
U2051,readv2
U200z,readv2
U2034,readv2
U208z,readv2
U205y,readv2
U201.,readv2
U223.,readv2
U2043,readv2
U20y4,readv2
U207.,readv2
U204z,readv2
U29y.,readv2
X82.5,readv2
X78.3,readv2
X81.6,readv2
X70.9,readv2
X63.9,readv2
X82.9,readv2
X81.8,readv2
X75.8,readv2
X79.8,readv2
X84.6,readv2
X75.2,readv2
X71.5,readv2
X63.3,readv2
X80,readv2
X67.6,readv2
X74.2,readv2
X80.4,readv2
X60.5,readv2
X63.5,readv2
X74.9,readv2
X63.2,readv2
X62.1,readv2
X69.8,readv2
X70.5,readv2
X66.5,readv2
X71.9,readv2
X64.1,readv2
X63,readv2
X83,readv2
X72.6,readv2
X84,readv2
X80.8,readv2
X72.5,readv2
X60.3,readv2
X70.2,readv2
X63.4,readv2
X63.8,readv2
X77.5,readv2
X78.4,readv2
X66.9,readv2
X78.6,readv2
X74.1,readv2
X69.5,readv2
X66.4,readv2
X60,readv2
X64.3,readv2
X77.8,readv2
X66.8,readv2
X77.3,readv2
X81,readv2
X60.6,readv2
X84.9,readv2
X79.2,readv2
X78,readv2
X79,readv2
X63.6,readv2
X69.2,readv2
X69.6,readv2
X82.2,readv2
X71.3,readv2
X61.9,readv2
X66.3,readv2
Y87.0,readv2
X68.3,readv2
X77.4,readv2
X64.5,readv2
X75,readv2
X80.9,readv2
X75.3,readv2
X64.4,readv2
X62.3,readv2
X83.3,readv2
X70.3,readv2
X67.2,readv2
X62.8,readv2
X81.4,readv2
X78.9,readv2
X62,readv2
X69.4,readv2
X70.6,readv2
X71.4,readv2
X61.6,readv2
X62.6,readv2
X84.4,readv2
X77.9,readv2
X71.1,readv2
X84.3,readv2
X60.4,readv2
X80.3,readv2
X75.4,readv2
X84.8,readv2
X64.2,readv2
X60.8,readv2
X74.3,readv2
X67.4,readv2
X77.1,readv2
X68.9,readv2
X68.1,readv2
X60.2,readv2
X80.6,readv2
X75.6,readv2
X68.2,readv2
X80.2,readv2
X81.9,readv2
X61.5,readv2
X82.1,readv2
X81.2,readv2
X75.5,readv2
X61.4,readv2
X61,readv2
X77,readv2
X66.2,readv2
X60.9,readv2
X79.6,readv2
X78.2,readv2
X69,readv2
X63.1,readv2
X67.5,readv2
X70.1,readv2
X79.3,readv2
X75.1,readv2
X62.9,readv2
X68.5,readv2
X82,readv2
X81.5,readv2
X68.4,readv2
X70,readv2
X60.1,readv2
X77.2,readv2
X70.8,readv2
X78.1,readv2
X64,readv2
X74.5,readv2
X66.1,readv2
X79.5,readv2
X71.2,readv2
X66,readv2
X84.2,readv2
X64.8,readv2
X82.3,readv2
X82.4,readv2
X74.6,readv2
X84.5,readv2
X62.5,readv2
X79.9,readv2
X69.1,readv2
X61.8,readv2
X74.8,readv2
X70.4,readv2
X67,readv2
X62.2,readv2
X69.9,readv2
X67.1,readv2
X66.6,readv2
